year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Name
2023,12,4,234,"Israel asks Palestinians to evacuate, but is any place safe in Gaza?",2023-12-04_1932.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,236,Tens of thousands flee on foot as UN says north of Gaza is ‘hell on earth’,2023-11-10_2418.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,236,At least 25 people killed in Israeli attacks on Gaza City school,2023-11-10_2419.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,236,Israeli bombardments damage more than half of Gaza’s housing units,2023-11-10_2433.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,22,238,UN Security Council passes resolution on increased Gaza aid delivery,2023-12-22_1641.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,22,238,US ready to back diluted resolution on more aid to Gaza as UN vote delayed,2023-12-22_1648.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,22,238,What’s the latest UN Gaza resolution that the US has agreed to?,2023-12-22_1647.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,12,22,238,"Entire Gaza at ‘risk of famine’ as fighting rages between Israel, Hamas",2023-12-22_1651.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,12,5,238,Searching for survivors after Israeli attack on central Gaza building,2023-12-05_1909.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,5,238,Israel intensifies strikes on Gaza’s second-largest city,2023-12-05_1919.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,5,238,Northern Gaza hospital ‘overwhelmed by horror’ as Israeli army lays siege,2023-12-05_1922.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,28,238,Israel says improper munitions cause of high death toll in Maghazi attack,2023-12-28_1571.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,28,238,No safe place for Palestinians in Gaza as Israel widens offensive,2023-12-28_1578.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,28,238,UN agency says 40 percent of Gaza’s population ‘at risk of famine’,2023-12-28_1572.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,12,2,240,Photos: More deaths and destruction as Israel targets southern Gaza,2023-12-02_1955.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,2,240,‘Hell on Earth’ in Gaza: Israel strikes hit Deir el-Balah,2023-12-02_1958.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,1,24,241,Hundreds flee further south as Israeli forces advance in Khan Younis,2024-01-24_1291.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,1,24,241,Is Israel using food deprivation as a war tactic?,2024-01-24_1287.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,11,11,241,Israeli attacks target Rafah as tens of thousands flee to south Gaza,2023-11-11_2397.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,17,242,‘Bodies all around’ as Israeli air raids hit homes in Khan Younis and Rafah,2023-10-17_3063.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,23,243,Hamas says 30 killed in Israeli attack on UN school ahead of Gaza truce,2023-11-23_2131.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,23,243,Israel steps up attacks on Gaza before truce,2023-11-23_2150.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
